SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,70.18679999999999,2.4215599964334023,1158.48,814.5

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,1102,785,71.23,FAILED,1
3136625912,1062,699,65.82,FAILED,2
3929915461,1362,978,71.81,FAILED,3
1202416571,1151,824,71.59,FAILED,4
2364296927,1060,699,65.94,FAILED,5
4048914527,1152,825,71.61,FAILED,6
245611477,1148,821,71.52,FAILED,7
889747142,1061,700,65.98,FAILED,8
895825300,1059,697,65.82,FAILED,9
1537731292,1147,821,71.58,FAILED,10
3805256479,1061,700,65.98,FAILED,11
3417776730,1356,971,71.61,FAILED,12
3455291829,1064,703,66.07,FAILED,13
3966897901,1359,974,71.67,FAILED,14
385689091,1103,786,71.26,FAILED,15
2928191392,1105,788,71.31,FAILED,16
2769896855,1102,785,71.23,FAILED,17
350716878,1104,788,71.38,FAILED,18
2922301505,1062,699,65.82,FAILED,19
1417047792,1064,703,66.07,FAILED,20
3575888941,1357,972,71.63,FAILED,21
3584571707,1107,791,71.45,FAILED,22
387571930,1148,821,71.52,FAILED,23
2400127562,1150,823,71.57,FAILED,24
1962563501,1103,786,71.26,FAILED,25
2311149461,1147,821,71.58,FAILED,26
1217076006,1148,821,71.52,FAILED,27
833115634,1060,699,65.94,FAILED,28
685136543,1059,697,65.82,FAILED,29
458209100,1362,978,71.81,FAILED,30
3587010598,1151,824,71.59,FAILED,31
2207326226,1106,790,71.43,FAILED,32
2018560162,1106,790,71.43,FAILED,33
1180350208,1107,791,71.45,FAILED,34
343332238,1359,974,71.67,FAILED,35
2756812092,1064,703,66.07,FAILED,36
4102742164,1151,824,71.59,FAILED,37
1440055438,1362,978,71.81,FAILED,38
4064325021,1152,825,71.61,FAILED,39
1040026147,1106,790,71.43,FAILED,40
1290827593,1360,976,71.76,FAILED,41
2221090888,1104,788,71.38,FAILED,42
3621737956,1152,825,71.61,FAILED,43
3267534106,1356,971,71.61,FAILED,44
2950706546,1148,821,71.52,FAILED,45
2124413061,1362,978,71.81,FAILED,46
957283921,1147,821,71.58,FAILED,47
3405922055,1101,785,71.3,FAILED,48
1945397770,1059,697,65.82,FAILED,49
1750365479,1146,819,71.47,FAILED,50
