SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,57.17940000000001,2.554232509832594,1158.48,664.0

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,1102,589,53.45,FAILED,1
3136625912,1062,603,56.78,FAILED,2
3929915461,1362,811,59.54,FAILED,3
1202416571,1151,680,59.08,FAILED,4
2364296927,1060,601,56.7,FAILED,5
4048914527,1152,682,59.2,FAILED,6
245611477,1148,680,59.23,FAILED,7
889747142,1061,603,56.83,FAILED,8
895825300,1059,601,56.75,FAILED,9
1537731292,1147,680,59.29,FAILED,10
3805256479,1061,603,56.83,FAILED,11
3417776730,1356,810,59.73,FAILED,12
3455291829,1064,604,56.77,FAILED,13
3966897901,1359,812,59.75,FAILED,14
385689091,1103,589,53.4,FAILED,15
2928191392,1105,589,53.3,FAILED,16
2769896855,1102,589,53.45,FAILED,17
350716878,1104,589,53.35,FAILED,18
2922301505,1062,603,56.78,FAILED,19
1417047792,1064,604,56.77,FAILED,20
3575888941,1357,811,59.76,FAILED,21
3584571707,1107,589,53.21,FAILED,22
387571930,1148,680,59.23,FAILED,23
2400127562,1150,680,59.13,FAILED,24
1962563501,1103,589,53.4,FAILED,25
2311149461,1147,680,59.29,FAILED,26
1217076006,1148,680,59.23,FAILED,27
833115634,1060,601,56.7,FAILED,28
685136543,1059,601,56.75,FAILED,29
458209100,1362,811,59.54,FAILED,30
3587010598,1151,680,59.08,FAILED,31
2207326226,1106,588,53.16,FAILED,32
2018560162,1106,588,53.16,FAILED,33
1180350208,1107,589,53.21,FAILED,34
343332238,1359,812,59.75,FAILED,35
2756812092,1064,604,56.77,FAILED,36
4102742164,1151,680,59.08,FAILED,37
1440055438,1362,811,59.54,FAILED,38
4064325021,1152,682,59.2,FAILED,39
1040026147,1106,588,53.16,FAILED,40
1290827593,1360,812,59.71,FAILED,41
2221090888,1104,589,53.35,FAILED,42
3621737956,1152,682,59.2,FAILED,43
3267534106,1356,810,59.73,FAILED,44
2950706546,1148,680,59.23,FAILED,45
2124413061,1362,811,59.54,FAILED,46
957283921,1147,680,59.29,FAILED,47
3405922055,1101,589,53.5,FAILED,48
1945397770,1059,601,56.75,FAILED,49
1750365479,1146,680,59.34,FAILED,50
