SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,32.89,1.5121332410788115,515.34,169.5

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,512,174,33.98,FAILED,1
3136625912,516,153,29.65,FAILED,2
3929915461,518,164,31.66,FAILED,3
1202416571,518,179,34.56,FAILED,4
2364296927,514,169,32.88,FAILED,5
4048914527,519,175,33.72,FAILED,6
245611477,515,178,34.56,FAILED,7
889747142,515,176,34.17,FAILED,8
895825300,513,157,30.6,FAILED,9
1537731292,514,159,30.93,FAILED,10
3805256479,515,180,34.95,FAILED,11
3417776730,512,153,29.88,FAILED,12
3455291829,518,179,34.56,FAILED,13
3966897901,515,155,30.1,FAILED,14
385689091,513,165,32.16,FAILED,15
2928191392,515,169,32.82,FAILED,16
2769896855,512,165,32.23,FAILED,17
350716878,514,173,33.66,FAILED,18
2922301505,516,173,33.53,FAILED,19
1417047792,518,173,33.4,FAILED,20
3575888941,513,170,33.14,FAILED,21
3584571707,517,155,29.98,FAILED,22
387571930,515,172,33.4,FAILED,23
2400127562,517,171,33.08,FAILED,24
1962563501,513,162,31.58,FAILED,25
2311149461,514,160,31.13,FAILED,26
1217076006,515,171,33.2,FAILED,27
833115634,514,177,34.44,FAILED,28
685136543,513,184,35.87,FAILED,29
458209100,518,174,33.59,FAILED,30
3587010598,518,175,33.78,FAILED,31
2207326226,516,166,32.17,FAILED,32
2018560162,516,172,33.33,FAILED,33
1180350208,517,170,32.88,FAILED,34
343332238,515,174,33.79,FAILED,35
2756812092,518,185,35.71,FAILED,36
4102742164,518,162,31.27,FAILED,37
1440055438,518,165,31.85,FAILED,38
4064325021,519,170,32.76,FAILED,39
1040026147,516,160,31.01,FAILED,40
1290827593,516,172,33.33,FAILED,41
2221090888,514,172,33.46,FAILED,42
3621737956,519,179,34.49,FAILED,43
3267534106,512,166,32.42,FAILED,44
2950706546,515,177,34.37,FAILED,45
2124413061,518,164,31.66,FAILED,46
957283921,514,167,32.49,FAILED,47
3405922055,511,164,32.09,FAILED,48
1945397770,513,170,33.14,FAILED,49
1750365479,513,180,35.09,FAILED,50
