SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,37.4628,1.664953317970329,515.34,193.06

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,512,184,35.94,FAILED,1
3136625912,516,200,38.76,FAILED,2
3929915461,518,182,35.14,FAILED,3
1202416571,518,197,38.03,FAILED,4
2364296927,514,212,41.25,FAILED,5
4048914527,519,188,36.22,FAILED,6
245611477,515,191,37.09,FAILED,7
889747142,515,179,34.76,FAILED,8
895825300,513,181,35.28,FAILED,9
1537731292,514,186,36.19,FAILED,10
3805256479,515,183,35.53,FAILED,11
3417776730,512,189,36.91,FAILED,12
3455291829,518,192,37.07,FAILED,13
3966897901,515,191,37.09,FAILED,14
385689091,513,204,39.77,FAILED,15
2928191392,515,206,40.0,FAILED,16
2769896855,512,201,39.26,FAILED,17
350716878,514,194,37.74,FAILED,18
2922301505,516,173,33.53,FAILED,19
1417047792,518,201,38.8,FAILED,20
3575888941,513,196,38.21,FAILED,21
3584571707,517,203,39.26,FAILED,22
387571930,515,197,38.25,FAILED,23
2400127562,517,175,33.85,FAILED,24
1962563501,513,195,38.01,FAILED,25
2311149461,514,185,35.99,FAILED,26
1217076006,515,191,37.09,FAILED,27
833115634,514,195,37.94,FAILED,28
685136543,513,191,37.23,FAILED,29
458209100,518,201,38.8,FAILED,30
3587010598,518,196,37.84,FAILED,31
2207326226,516,207,40.12,FAILED,32
2018560162,516,198,38.37,FAILED,33
1180350208,517,198,38.3,FAILED,34
343332238,515,183,35.53,FAILED,35
2756812092,518,188,36.29,FAILED,36
4102742164,518,197,38.03,FAILED,37
1440055438,518,200,38.61,FAILED,38
4064325021,519,188,36.22,FAILED,39
1040026147,516,206,39.92,FAILED,40
1290827593,516,190,36.82,FAILED,41
2221090888,514,192,37.35,FAILED,42
3621737956,519,197,37.96,FAILED,43
3267534106,512,198,38.67,FAILED,44
2950706546,515,203,39.42,FAILED,45
2124413061,518,197,38.03,FAILED,46
957283921,514,183,35.6,FAILED,47
3405922055,511,196,38.36,FAILED,48
1945397770,513,182,35.48,FAILED,49
1750365479,513,191,37.23,FAILED,50
